minute_of_day,irradiance(W/m^2),voltage(V),current(A),power(W)
773,951.13,22.02,0.276,6.07
774,957.52,22.04,0.278,6.12
775,943.62,21.99,0.274,6.02
776,951.04,22.02,0.276,6.07
777,941.37,21.99,0.273,6.0
778,942.84,21.99,0.273,6.01
779,951.65,22.02,0.276,6.08
780,946.49,22.0,0.274,6.04
781,932.12,21.95,0.27,5.93
782,962.64,22.06,0.279,6.16
783,936.91,21.97,0.272,5.97
784,937.88,21.97,0.272,5.98
785,947.96,22.01,0.275,6.05
786,926.62,21.93,0.269,5.89
787,922.02,21.91,0.267,5.86
788,928.54,21.94,0.269,5.91
789,934.24,21.96,0.271,5.95
790,924.86,21.92,0.268,5.88
791,935.42,21.96,0.271,5.96
792,925.33,21.93,0.268,5.88
793,933.03,21.95,0.271,5.94
794,912.65,21.88,0.265,5.79
795,928.91,21.94,0.269,5.91
796,923.8,21.92,0.268,5.87
797,900.99,21.84,0.261,5.71
798,906.65,21.86,0.263,5.75
799,906.29,21.86,0.263,5.74
800,909.41,21.87,0.264,5.77
801,908.16,21.86,0.263,5.76
802,907.41,21.86,0.263,5.75
803,909.12,21.87,0.264,5.77
804,892.53,21.81,0.259,5.64
805,899.76,21.83,0.261,5.7
806,900.69,21.84,0.261,5.7
807,888.09,21.79,0.258,5.61
808,900.13,21.83,0.261,5.7
809,893.76,21.81,0.259,5.65
810,882.08,21.77,0.256,5.57
811,864.46,21.7,0.251,5.44
812,879.6,21.76,0.255,5.55
813,878.72,21.76,0.255,5.54
814,873.4,21.74,0.253,5.51
815,862.44,21.7,0.25,5.43
816,860.73,21.69,0.25,5.41
817,859.86,21.69,0.249,5.41
818,870.43,21.73,0.252,5.48
819,842.99,21.63,0.244,5.29
820,870.66,21.73,0.252,5.49
821,862.1,21.7,0.25,5.42
822,844.78,21.63,0.245,5.3
823,843.25,21.63,0.245,5.29
824,841.63,21.62,0.244,5.28
825,845.49,21.63,0.245,5.3
826,826.63,21.57,0.24,5.17
827,847.68,21.64,0.246,5.32
828,842.59,21.62,0.244,5.28
829,839.15,21.61,0.243,5.26
830,848.53,21.65,0.246,5.33
831,815.02,21.52,0.236,5.09
832,829.59,21.58,0.241,5.19
833,835.23,21.6,0.242,5.23
834,823.7,21.55,0.239,5.15
835,836.71,21.6,0.243,5.24
836,820.46,21.54,0.238,5.13
837,797.69,21.46,0.231,4.96
838,799.56,21.47,0.232,4.98
839,822.71,21.55,0.239,5.14
840,811.93,21.51,0.235,5.07
841,789.68,21.43,0.229,4.91
842,815.54,21.52,0.237,5.09
843,811.24,21.51,0.235,5.06
844,788.27,21.43,0.229,4.9
845,786.3,21.42,0.228,4.88
846,787.84,21.42,0.228,4.89
847,770.92,21.36,0.224,4.78
848,747.58,21.28,0.217,4.61
849,793.32,21.44,0.23,4.93
850,778.25,21.39,0.226,4.83
851,766.51,21.35,0.222,4.74
852,761.28,21.33,0.221,4.71
853,777.41,21.39,0.225,4.82
854,752.22,21.29,0.218,4.64
855,748.13,21.28,0.217,4.62
856,763.29,21.33,0.221,4.72
857,756.86,21.31,0.219,4.68
858,757.35,21.31,0.22,4.68
859,726.42,21.2,0.211,4.47
860,720.82,21.18,0.209,4.43
861,737.14,21.24,0.214,4.54
862,725.99,21.2,0.211,4.46
863,734.89,21.23,0.213,4.52
864,726.63,21.2,0.211,4.47
865,720.26,21.18,0.209,4.42
866,718.47,21.17,0.208,4.41
867,730.13,21.21,0.212,4.49
868,716.44,21.16,0.208,4.4
869,702.25,21.11,0.204,4.3
870,709.26,21.14,0.206,4.35
871,713.74,21.15,0.207,4.38
872,694.53,21.08,0.201,4.25
873,702.9,21.11,0.204,4.3
874,685.23,21.05,0.199,4.18
875,678.66,21.02,0.197,4.14
876,683.78,21.04,0.198,4.17
877,678.06,21.02,0.197,4.13
878,676.7,21.02,0.196,4.12
879,664.58,20.97,0.193,4.04
880,675.14,21.01,0.196,4.11
881,660.99,20.96,0.192,4.02
882,663.14,20.97,0.192,4.03
883,660.46,20.96,0.192,4.01
884,649.27,20.92,0.188,3.94
885,661.36,20.96,0.192,4.02
886,655.54,20.94,0.19,3.98
887,646.68,20.91,0.188,3.92
888,674.39,21.01,0.196,4.11
889,644.61,20.9,0.187,3.91
890,634.65,20.86,0.184,3.84
891,646.06,20.9,0.187,3.92
892,618.88,20.81,0.179,3.73
893,635.91,20.87,0.184,3.85
894,627.4,20.84,0.182,3.79
895,614.65,20.79,0.178,3.71
896,609.29,20.77,0.177,3.67
897,636.1,20.87,0.184,3.85
898,607.74,20.76,0.176,3.66
899,612.14,20.78,0.178,3.69
900,613.36,20.78,0.178,3.7
901,597.81,20.73,0.173,3.59
902,600.07,20.74,0.174,3.61
903,588.99,20.7,0.171,3.53
904,577.54,20.65,0.167,3.46
905,603.29,20.75,0.175,3.63
906,601.98,20.74,0.175,3.62
907,573.35,20.64,0.166,3.43
908,571.14,20.63,0.166,3.42
909,586.74,20.69,0.17,3.52
910,581.81,20.67,0.169,3.49
911,586.53,20.69,0.17,3.52
912,566.92,20.61,0.164,3.39
913,563.44,20.6,0.163,3.37
914,549.93,20.55,0.159,3.28
915,558.19,20.58,0.162,3.33
916,554.38,20.57,0.161,3.31
917,557.8,20.58,0.162,3.33
918,533.41,20.49,0.155,3.17
919,525.45,20.46,0.152,3.12
920,518.52,20.44,0.15,3.07
921,528.73,20.48,0.153,3.14
922,532.94,20.49,0.155,3.17
923,539.45,20.51,0.156,3.21
924,529.45,20.48,0.154,3.14
925,512.11,20.41,0.149,3.03
926,533.46,20.49,0.155,3.17
927,506.56,20.39,0.147,3.0
928,499.94,20.37,0.145,2.95
929,522.69,20.45,0.152,3.1
930,493.66,20.35,0.143,2.91
931,503.62,20.38,0.146,2.98
932,478.38,20.29,0.139,2.81
933,487.18,20.32,0.141,2.87
934,499.54,20.37,0.145,2.95
935,488.95,20.33,0.142,2.88
936,485.66,20.32,0.141,2.86
937,471.47,20.27,0.137,2.77
938,472.65,20.27,0.137,2.78
939,480.84,20.3,0.139,2.83
940,484.22,20.31,0.14,2.85
941,462.04,20.23,0.134,2.71
942,461.94,20.23,0.134,2.71
943,455.07,20.21,0.132,2.67
944,448.37,20.18,0.13,2.62
945,455.34,20.21,0.132,2.67
946,446.47,20.17,0.129,2.61
947,463.42,20.24,0.134,2.72
948,444.52,20.17,0.129,2.6
949,450.84,20.19,0.131,2.64
950,426.95,20.1,0.124,2.49
951,459.13,20.22,0.133,2.69
952,424.12,20.09,0.123,2.47
953,442.93,20.16,0.128,2.59
954,421.89,20.08,0.122,2.46
955,431.68,20.12,0.125,2.52
956,423.75,20.09,0.123,2.47
957,407.69,20.03,0.118,2.37
958,410.05,20.04,0.119,2.38
959,409.55,20.04,0.119,2.38
960,394.72,19.98,0.114,2.29
961,405.64,20.02,0.118,2.36
962,414.57,20.06,0.12,2.41
963,417.57,20.07,0.121,2.43
964,393.59,19.98,0.114,2.28
965,391.84,19.97,0.114,2.27
966,397.67,20.0,0.115,2.31
967,401.8,20.01,0.117,2.33
968,389.41,19.97,0.113,2.25
969,373.73,19.91,0.108,2.16
970,372.14,19.9,0.108,2.15
971,375.77,19.92,0.109,2.17
972,379.9,19.93,0.11,2.2
973,369.72,19.89,0.107,2.13
974,361.23,19.86,0.105,2.08
975,359.04,19.85,0.104,2.07
976,355.5,19.84,0.103,2.05
977,349.21,19.82,0.101,2.01
978,362.58,19.87,0.105,2.09
979,349.22,19.82,0.101,2.01
980,343.57,19.8,0.1,1.97
981,350.86,19.82,0.102,2.02
982,356.93,19.85,0.104,2.05
983,339.52,19.78,0.098,1.95
984,341.99,19.79,0.099,1.96
985,349.34,19.82,0.101,2.01
986,302.32,19.65,0.088,1.72
987,330.44,19.75,0.096,1.89
988,324.65,19.73,0.094,1.86
989,326.21,19.73,0.095,1.87
990,335.69,19.77,0.097,1.92
991,335.09,19.77,0.097,1.92
992,349.57,19.82,0.101,2.01
993,327.89,19.74,0.095,1.88
994,303.4,19.65,0.088,1.73
995,305.38,19.66,0.089,1.74
996,315.3,19.69,0.091,1.8
997,294.95,19.62,0.086,1.68
998,302.61,19.65,0.088,1.72
999,298.6,19.63,0.087,1.7
1000,285.85,19.59,0.083,1.62
1001,285.19,19.58,0.083,1.62
1002,277.71,19.56,0.081,1.58
1003,296.46,19.63,0.086,1.69
1004,300.08,19.64,0.087,1.71
1005,289.65,19.6,0.084,1.65
1006,295.98,19.62,0.086,1.68
1007,280.92,19.57,0.081,1.59
1008,297.29,19.63,0.086,1.69
1009,271.84,19.53,0.079,1.54
1010,274.87,19.55,0.08,1.56
1011,278.51,19.56,0.081,1.58
1012,270.54,19.53,0.078,1.53
1013,248.73,19.45,0.072,1.4
1014,261.36,19.5,0.076,1.48
1015,260.23,19.49,0.075,1.47
1016,251.37,19.46,0.073,1.42
1017,265.01,19.51,0.077,1.5
1018,270.27,19.53,0.078,1.53
1019,245.64,19.44,0.071,1.38
1020,267.36,19.52,0.078,1.51
1021,248.59,19.45,0.072,1.4
1022,257.74,19.48,0.075,1.46
1023,243.64,19.43,0.071,1.37
1024,252.6,19.46,0.073,1.43
1025,232.17,19.39,0.067,1.31
1026,234.86,19.4,0.068,1.32
1027,240.89,19.42,0.07,1.36
1028,226.27,19.37,0.066,1.27
1029,228.12,19.37,0.066,1.28
1030,250.45,19.46,0.073,1.41
1031,227.4,19.37,0.066,1.28
1032,227.26,19.37,0.066,1.28
1033,213.0,19.32,0.062,1.19
1034,229.47,19.38,0.067,1.29
1035,212.07,19.32,0.062,1.19
1036,201.6,19.28,0.058,1.13
1037,217.0,19.33,0.063,1.22
1038,207.8,19.3,0.06,1.16
1039,207.54,19.3,0.06,1.16
1040,205.76,19.29,0.06,1.15
1041,197.35,19.26,0.057,1.1
1042,210.33,19.31,0.061,1.18
1043,203.8,19.29,0.059,1.14
1044,201.56,19.28,0.058,1.13
1045,206.07,19.29,0.06,1.15
1046,191.18,19.24,0.055,1.07
1047,190.03,19.24,0.055,1.06
1048,187.22,19.23,0.054,1.04
1049,194.87,19.25,0.057,1.09
1050,180.5,19.2,0.052,1.01
1051,195.33,19.25,0.057,1.09
1052,200.16,19.27,0.058,1.12
1053,160.75,19.13,0.047,0.89
1054,177.57,19.19,0.051,0.99
1055,174.27,19.18,0.051,0.97
1056,185.25,19.22,0.054,1.03
1057,183.29,19.21,0.053,1.02
1058,172.54,19.17,0.05,0.96
1059,172.15,19.17,0.05,0.96
1060,179.73,19.2,0.052,1.0
1061,172.17,19.17,0.05,0.96
1062,168.52,19.16,0.049,0.94
1063,154.1,19.1,0.045,0.85
1064,160.81,19.13,0.047,0.89
1065,146.8,19.08,0.043,0.81
1066,157.82,19.12,0.046,0.87
1067,156.58,19.11,0.045,0.87
1068,149.75,19.09,0.043,0.83
1069,150.29,19.09,0.044,0.83
1070,154.06,19.1,0.045,0.85
1071,154.56,19.11,0.045,0.86
1072,142.11,19.06,0.041,0.79
1073,138.94,19.05,0.04,0.77
1074,164.7,19.14,0.048,0.91
1075,152.98,19.1,0.044,0.85
1076,137.2,19.04,0.04,0.76
1077,138.97,19.05,0.04,0.77
1078,129.65,19.01,0.038,0.71
1079,139.14,19.05,0.04,0.77
1080,143.47,19.07,0.042,0.79
1081,136.67,19.04,0.04,0.75
1082,127.94,19.01,0.037,0.71
1083,130.31,19.02,0.038,0.72
1084,114.57,18.96,0.033,0.63
1085,130.98,19.02,0.038,0.72
1086,122.01,18.99,0.035,0.67
1087,131.45,19.02,0.038,0.73
1088,115.04,18.96,0.033,0.63
1089,124.02,18.99,0.036,0.68
1090,118.09,18.97,0.034,0.65
1091,108.67,18.94,0.032,0.6
1092,112.88,18.95,0.033,0.62
1093,124.42,19.0,0.036,0.69
1094,106.15,18.93,0.031,0.58
1095,122.47,18.99,0.036,0.67
1096,110.72,18.95,0.032,0.61
1097,94.1,18.88,0.027,0.52
1098,103.68,18.92,0.03,0.57
1099,123.31,18.99,0.036,0.68
1100,123.59,18.99,0.036,0.68
1101,99.5,18.9,0.029,0.55
1102,96.12,18.89,0.028,0.53
1103,117.43,18.97,0.034,0.65
1104,98.8,18.9,0.029,0.54
1105,69.64,18.79,0.02,0.38
1106,94.53,18.89,0.027,0.52
1107,105.09,18.92,0.03,0.58
1108,92.56,18.88,0.027,0.51
1109,108.51,18.94,0.031,0.6
1110,76.49,18.82,0.022,0.42
1111,86.61,18.86,0.025,0.47
1112,92.94,18.88,0.027,0.51
1113,80.8,18.84,0.023,0.44
1114,99.46,18.9,0.029,0.55
1115,103.93,18.92,0.03,0.57
1116,86.81,18.86,0.025,0.47
1117,94.08,18.88,0.027,0.52
1118,94.17,18.88,0.027,0.52
1119,89.5,18.87,0.026,0.49
1120,88.9,18.87,0.026,0.49
1121,90.73,18.87,0.026,0.5
1122,94.55,18.89,0.027,0.52
1123,65.65,18.78,0.019,0.36
1124,72.99,18.81,0.021,0.4
1125,79.71,18.83,0.023,0.44
1126,68.49,18.79,0.02,0.37
1127,81.71,18.84,0.024,0.45
1128,79.0,18.83,0.023,0.43
1129,79.34,18.83,0.023,0.43
1130,75.83,18.82,0.022,0.41
1131,66.53,18.78,0.019,0.36
1132,52.95,18.73,0.015,0.29
1133,79.94,18.83,0.023,0.44
1134,68.55,18.79,0.02,0.37
1135,65.26,18.78,0.019,0.36
1136,60.87,18.76,0.018,0.33
1137,70.29,18.8,0.02,0.38
1138,55.78,18.74,0.016,0.3
1139,78.88,18.83,0.023,0.43
1140,80.52,18.83,0.023,0.44
1141,71.74,18.8,0.021,0.39
1142,76.41,18.82,0.022,0.42
1143,59.95,18.76,0.017,0.33
1144,56.06,18.75,0.016,0.3
1145,63.98,18.77,0.019,0.35
1146,56.02,18.75,0.016,0.3
1147,66.19,18.78,0.019,0.36
1148,38.41,18.68,0.011,0.21
1149,49.18,18.72,0.014,0.27
1150,61.34,18.76,0.018,0.33
1151,68.32,18.79,0.02,0.37
1152,49.78,18.72,0.014,0.27
1153,63.66,18.77,0.018,0.35
1154,50.76,18.73,0.015,0.28
1155,53.04,18.73,0.015,0.29
1156,62.09,18.77,0.018,0.34
1157,65.23,18.78,0.019,0.36
1158,32.15,18.66,0.009,0.17
1159,62.33,18.77,0.018,0.34
1160,34.37,18.67,0.01,0.19
1161,50.01,18.72,0.015,0.27
1162,50.02,18.72,0.015,0.27
1163,38.73,18.68,0.011,0.21
1164,32.41,18.66,0.009,0.18
1165,50.17,18.72,0.015,0.27
1166,38.49,18.68,0.011,0.21
1167,49.62,18.72,0.014,0.27
1168,34.52,18.67,0.01,0.19
1169,54.61,18.74,0.016,0.3
1170,66.28,18.78,0.019,0.36
1171,50.43,18.72,0.015,0.27
1172,41.39,18.69,0.012,0.22
1173,33.8,18.66,0.01,0.18
1174,31.32,18.65,0.009,0.17
1175,43.85,18.7,0.013,0.24
1176,33.19,18.66,0.01,0.18
1177,45.41,18.71,0.013,0.25
1178,50.31,18.72,0.015,0.27
1179,34.15,18.66,0.01,0.18
1180,58.71,18.75,0.017,0.32
1181,32.82,18.66,0.01,0.18
1182,35.63,18.67,0.01,0.19
1183,27.38,18.64,0.008,0.15
1184,44.76,18.7,0.013,0.24
1185,24.71,18.63,0.007,0.13
1186,35.7,18.67,0.01,0.19
1187,45.22,18.71,0.013,0.25
1188,30.13,18.65,0.009,0.16
1189,50.16,18.72,0.015,0.27
1190,24.77,18.63,0.007,0.13
1191,29.5,18.65,0.009,0.16
1192,35.05,18.67,0.01,0.19
1193,39.92,18.69,0.012,0.22
1194,28.68,18.64,0.008,0.16
1195,33.02,18.66,0.01,0.18
1196,33.57,18.66,0.01,0.18
1197,35.27,18.67,0.01,0.19
1198,41.81,18.69,0.012,0.23
1199,37.92,18.68,0.011,0.21
1200,31.93,18.66,0.009,0.17
1201,18.62,18.61,0.005,0.1
1202,15.48,18.6,0.004,0.08
1203,20.64,18.62,0.006,0.11
1204,29.25,18.65,0.008,0.16
1205,29.84,18.65,0.009,0.16
1206,36.76,18.67,0.011,0.2
1207,31.05,18.65,0.009,0.17
1208,37.23,18.68,0.011,0.2
1209,29.48,18.65,0.009,0.16
1210,20.72,18.62,0.006,0.11
1211,7.29,18.57,0.002,0.04
1212,26.09,18.64,0.008,0.14
1213,6.67,18.56,0.002,0.04
1214,12.03,18.58,0.003,0.06
1215,32.8,18.66,0.01,0.18
1216,17.04,18.6,0.005,0.09
1217,17.46,18.6,0.005,0.09
1218,14.85,18.59,0.004,0.08
1219,8.95,18.57,0.003,0.05
1220,11.8,18.58,0.003,0.06
1221,16.42,18.6,0.005,0.09
1222,44.2,18.7,0.013,0.24
1223,16.31,18.6,0.005,0.09
1224,13.24,18.59,0.004,0.07
1225,23.59,18.63,0.007,0.13
1226,14.49,18.59,0.004,0.08
1227,17.19,18.6,0.005,0.09
1228,0.0,18.54,0.0,0.0
1229,20.08,18.61,0.006,0.11
1230,11.17,18.58,0.003,0.06
1231,16.17,18.6,0.005,0.09
1232,0.0,18.54,0.0,0.0
1233,16.91,18.6,0.005,0.09
1234,11.02,18.58,0.003,0.06
1235,13.39,18.59,0.004,0.07
1236,10.96,18.58,0.003,0.06
1237,9.9,18.58,0.003,0.05
1238,21.73,18.62,0.006,0.12
1239,7.98,18.57,0.002,0.04
1240,20.41,18.61,0.006,0.11
1241,21.26,18.62,0.006,0.11
1242,10.39,18.58,0.003,0.06
1243,1.61,18.55,0.0,0.01
1244,2.88,18.55,0.001,0.02
1245,0.0,18.54,0.0,0.0
1246,8.64,18.57,0.003,0.05
1247,17.2,18.6,0.005,0.09
1248,0.0,18.54,0.0,0.0
1249,0.0,18.54,0.0,0.0
1250,27.62,18.64,0.008,0.15
1251,20.29,18.61,0.006,0.11
1252,0.0,18.54,0.0,0.0
1253,7.18,18.57,0.002,0.04
1254,37.27,18.68,0.011,0.2
1255,0.0,18.54,0.0,0.0
1256,0.0,18.54,0.0,0.0
1257,19.42,18.61,0.006,0.1
1258,0.0,18.54,0.0,0.0
1259,17.43,18.6,0.005,0.09
1260,7.46,18.57,0.002,0.04
1261,23.98,18.63,0.007,0.13
1262,0.0,18.54,0.0,0.0
1263,8.86,18.57,0.003,0.05
1264,21.3,18.62,0.006,0.11
1265,23.67,18.63,0.007,0.13
1266,13.17,18.59,0.004,0.07
1267,4.62,18.56,0.001,0.02
1268,12.25,18.58,0.004,0.07
1269,5.67,18.56,0.002,0.03
1270,2.61,18.55,0.001,0.01
1271,7.06,18.57,0.002,0.04
1272,11.58,18.58,0.003,0.06
1273,1.21,18.54,0.0,0.01
1274,5.29,18.56,0.002,0.03
1275,0.0,18.54,0.0,0.0
1276,6.84,18.57,0.002,0.04
1277,1.7,18.55,0.0,0.01
1278,10.0,18.58,0.003,0.05
1279,5.74,18.56,0.002,0.03
1280,9.8,18.58,0.003,0.05
1281,30.39,18.65,0.009,0.16
1282,0.9,18.54,0.0,0.0
1283,31.52,18.66,0.009,0.17
1284,0.0,18.54,0.0,0.0
1285,17.66,18.6,0.005,0.1
1286,6.91,18.57,0.002,0.04
1287,3.94,18.55,0.001,0.02
1288,14.42,18.59,0.004,0.08
1289,0.0,18.54,0.0,0.0
1290,0.0,18.54,0.0,0.0
1291,2.58,18.55,0.001,0.01
1292,0.0,18.54,0.0,0.0
1293,0.0,18.54,0.0,0.0
1294,5.06,18.56,0.001,0.03
1295,0.0,18.54,0.0,0.0
1296,0.0,18.54,0.0,0.0
1297,15.87,18.6,0.005,0.09
1298,0.0,18.54,0.0,0.0
1299,0.0,18.54,0.0,0.0
1300,13.68,18.59,0.004,0.07
1301,20.98,18.62,0.006,0.11
1302,13.51,18.59,0.004,0.07
1303,15.86,18.6,0.005,0.09
1304,0.45,18.54,0.0,0.0
1305,0.0,18.54,0.0,0.0
1306,15.22,18.6,0.004,0.08
1307,17.22,18.6,0.005,0.09
1308,0.69,18.54,0.0,0.0
1309,0.0,18.54,0.0,0.0
1310,4.74,18.56,0.001,0.03
1311,0.0,18.54,0.0,0.0
1312,0.0,18.54,0.0,0.0
1313,23.31,18.63,0.007,0.13
1314,0.0,18.54,0.0,0.0
1315,3.36,18.55,0.001,0.02
1316,6.04,18.56,0.002,0.03
1317,1.81,18.55,0.001,0.01
1318,5.03,18.56,0.001,0.03
1319,23.91,18.63,0.007,0.13
1320,3.91,18.55,0.001,0.02
1321,1.82,18.55,0.001,0.01
1322,0.0,18.54,0.0,0.0
1323,0.0,18.54,0.0,0.0
1324,18.34,18.61,0.005,0.1
1325,17.82,18.61,0.005,0.1
1326,3.56,18.55,0.001,0.02
1327,11.24,18.58,0.003,0.06
1328,0.0,18.54,0.0,0.0
1329,13.93,18.59,0.004,0.08
1330,0.0,18.54,0.0,0.0
1331,20.97,18.62,0.006,0.11
1332,12.24,18.58,0.004,0.07
1333,8.34,18.57,0.002,0.04
1334,6.36,18.56,0.002,0.03
1335,0.0,18.54,0.0,0.0
1336,0.0,18.54,0.0,0.0
1337,0.0,18.54,0.0,0.0
1338,9.54,18.57,0.003,0.05
1339,11.16,18.58,0.003,0.06
1340,0.0,18.54,0.0,0.0
1341,0.0,18.54,0.0,0.0
1342,7.68,18.57,0.002,0.04
1343,0.0,18.54,0.0,0.0
1344,0.0,18.54,0.0,0.0
1345,7.0,18.57,0.002,0.04
1346,3.84,18.55,0.001,0.02
1347,0.0,18.54,0.0,0.0
1348,6.1,18.56,0.002,0.03
1349,3.66,18.55,0.001,0.02
1350,1.37,18.55,0.0,0.01
1351,8.37,18.57,0.002,0.05
1352,0.83,18.54,0.0,0.0
1353,0.0,18.54,0.0,0.0
1354,0.0,18.54,0.0,0.0
1355,0.0,18.54,0.0,0.0
1356,0.06,18.54,0.0,0.0
1357,14.89,18.59,0.004,0.08
1358,0.0,18.54,0.0,0.0
1359,15.12,18.6,0.004,0.08
1360,0.0,18.54,0.0,0.0
1361,0.0,18.54,0.0,0.0
1362,0.0,18.54,0.0,0.0
1363,4.41,18.56,0.001,0.02
1364,0.0,18.54,0.0,0.0
1365,0.0,18.54,0.0,0.0
1366,7.25,18.57,0.002,0.04
1367,0.0,18.54,0.0,0.0
1368,2.99,18.55,0.001,0.02
1369,6.22,18.56,0.002,0.03
1370,7.11,18.57,0.002,0.04
1371,14.86,18.59,0.004,0.08
1372,0.0,18.54,0.0,0.0
1373,0.0,18.54,0.0,0.0
1374,7.55,18.57,0.002,0.04
1375,0.0,18.54,0.0,0.0
1376,0.0,18.54,0.0,0.0
1377,21.55,18.62,0.006,0.12
1378,4.83,18.56,0.001,0.03
1379,9.22,18.57,0.003,0.05
1380,0.0,18.54,0.0,0.0
1381,0.0,18.54,0.0,0.0
1382,16.26,18.6,0.005,0.09
1383,0.0,18.54,0.0,0.0
1384,12.97,18.59,0.004,0.07
1385,10.22,18.58,0.003,0.06
1386,0.0,18.54,0.0,0.0
1387,0.87,18.54,0.0,0.0
1388,0.0,18.54,0.0,0.0
1389,0.0,18.54,0.0,0.0
1390,5.56,18.56,0.002,0.03
1391,0.0,18.54,0.0,0.0
1392,0.0,18.54,0.0,0.0
1393,0.0,18.54,0.0,0.0
1394,0.0,18.54,0.0,0.0
1395,0.0,18.54,0.0,0.0
1396,0.0,18.54,0.0,0.0
1397,10.56,18.58,0.003,0.06
1398,0.0,18.54,0.0,0.0
1399,10.72,18.58,0.003,0.06
1400,0.0,18.54,0.0,0.0
1401,0.0,18.54,0.0,0.0
1402,0.0,18.54,0.0,0.0
1403,18.97,18.61,0.006,0.1
1404,0.0,18.54,0.0,0.0
1405,0.0,18.54,0.0,0.0
1406,0.0,18.54,0.0,0.0
1407,20.29,18.61,0.006,0.11
1408,4.22,18.56,0.001,0.02
1409,0.0,18.54,0.0,0.0
1410,7.96,18.57,0.002,0.04
1411,0.0,18.54,0.0,0.0
1412,0.0,18.54,0.0,0.0
1413,0.0,18.54,0.0,0.0
1414,0.0,18.54,0.0,0.0
1415,4.82,18.56,0.001,0.03
1416,1.06,18.54,0.0,0.01
1417,0.0,18.54,0.0,0.0
1418,0.0,18.54,0.0,0.0
1419,3.47,18.55,0.001,0.02
1420,20.58,18.62,0.006,0.11
1421,0.0,18.54,0.0,0.0
1422,0.0,18.54,0.0,0.0
1423,0.0,18.54,0.0,0.0
1424,2.1,18.55,0.001,0.01
1425,0.0,18.54,0.0,0.0
1426,15.53,18.6,0.005,0.08
1427,5.64,18.56,0.002,0.03
1428,10.99,18.58,0.003,0.06
1429,4.21,18.56,0.001,0.02
1430,0.24,18.54,0.0,0.0
1431,0.0,18.54,0.0,0.0
1432,12.06,18.58,0.003,0.06
1433,6.48,18.56,0.002,0.03
1434,0.0,18.54,0.0,0.0
1435,10.12,18.58,0.003,0.05
1436,0.51,18.54,0.0,0.0
1437,0.0,18.54,0.0,0.0
1438,0.0,18.54,0.0,0.0
1439,5.95,18.56,0.002,0.03
